"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_CC_DIRECT","plasma membrane","77","222","3531","13725","2.42e-3","7.02e-2","1.35","5.88e-1","6.65e-2","1.75e-3","ENSMUSG00000028780,ENSMUSG00000016918,ENSMUSG00000054675,ENSMUSG00000029231,ENSMUSG00000022122,ENSMUSG00000002831,ENSMUSG00000046768,ENSMUSG00000024621,ENSMUSG00000037098,ENSMUSG00000101389,ENSMUSG00000038023,ENSMUSG00000032925,ENSMUSG00000034462,ENSMUSG00000031239,ENSMUSG00000032402,ENSMUSG00000029860,ENSMUSG00000032231,ENSMUSG00000020170,ENSMUSG00000059498,ENSMUSG00000026796,ENSMUSG00000007613,ENSMUSG00000025986,ENSMUSG00000026712,ENSMUSG00000022797,ENSMUSG00000044017,ENSMUSG00000024978,ENSMUSG00000024659,ENSMUSG00000068566,ENSMUSG00000019278,ENSMUSG00000026879,ENSMUSG00000021823,ENSMUSG00000002602,ENSMUSG00000037242,ENSMUSG00000034055,ENSMUSG00000037400,ENSMUSG00000075602,ENSMUSG00000032633,ENSMUSG00000031494,ENSMUSG00000027276,ENSMUSG00000021171,ENSMUSG00000055980,ENSMUSG00000000555,ENSMUSG00000020681,ENSMUSG00000022462,ENSMUSG00000022102,ENSMUSG00000020122,ENSMUSG00000022464,ENSMUSG00000022500,ENSMUSG00000026028,ENSMUSG00000009687,ENSMUSG00000022822,ENSMUSG00000020689,ENSMUSG00000052957,ENSMUSG00000021978,ENSMUSG00000023959,ENSMUSG00000030208,ENSMUSG00000015766,ENSMUSG00000074743,ENSMUSG00000030110,ENSMUSG00000004044,ENSMUSG00000027860,ENSMUSG00000028552,ENSMUSG00000027340,ENSMUSG00000029484,ENSMUSG00000028995,ENSMUSG00000022770,ENSMUSG00000008845,ENSMUSG00000050947,ENSMUSG00000024679,ENSMUSG00000071984,ENSMUSG00000039084,ENSMUSG00000020315,ENSMUSG00000045246,ENSMUSG00000031207,ENSMUSG00000031328,ENSMUSG00000033788,ENSMUSG00000037503"
"GOTERM_CC_DIRECT","collagen type IV trimer","3","222","5","13725","2.50e-3","7.02e-2","37.09","5.99e-1","6.65e-2","4.08e-5","ENSMUSG00000031274,ENSMUSG00000031503,ENSMUSG00000031502"
"GOTERM_CC_DIRECT","complement component C1 complex","3","222","5","13725","2.50e-3","7.02e-2","37.09","5.99e-1","6.65e-2","4.08e-5","ENSMUSG00000036905,ENSMUSG00000036896,ENSMUSG00000036887"
"GOTERM_CC_DIRECT","basal plasma membrane","6","222","60","13725","2.75e-3","7.12e-2","6.18","6.34e-1","6.75e-2","4.04e-4","ENSMUSG00000028552,ENSMUSG00000027340,ENSMUSG00000034462,ENSMUSG00000022770,ENSMUSG00000020681,ENSMUSG00000020122"
"GOTERM_CC_DIRECT","basolateral plasma membrane","11","222","219","13725","2.93e-3","7.12e-2","3.11","6.57e-1","6.75e-2","8.83e-4","ENSMUSG00000024659,ENSMUSG00000022822,ENSMUSG00000032231,ENSMUSG00000027340,ENSMUSG00000034462,ENSMUSG00000031207,ENSMUSG00000022770,ENSMUSG00000007613,ENSMUSG00000020122,ENSMUSG00000022797,ENSMUSG00000009687"
"GOTERM_CC_DIRECT","receptor complex","9","222","156","13725","3.77e-3","8.54e-2","3.57","7.48e-1","8.10e-2","9.85e-4","ENSMUSG00000020689,ENSMUSG00000030110,ENSMUSG00000002602,ENSMUSG00000029231,ENSMUSG00000007888,ENSMUSG00000007613,ENSMUSG00000020122,ENSMUSG00000032402,ENSMUSG00000024621"
"GOTERM_CC_DIRECT","focal adhesion","10","222","193","13725","4.08e-3","8.54e-2","3.20","7.75e-1","8.10e-2","1.19e-3","ENSMUSG00000029860,ENSMUSG00000020689,ENSMUSG00000026879,ENSMUSG00000021823,ENSMUSG00000038023,ENSMUSG00000032925,ENSMUSG00000017009,ENSMUSG00000038366,ENSMUSG00000000555,ENSMUSG00000031207"
"GOTERM_CC_DIRECT","cell-cell junction","10","222","194","13725","4.21e-3","8.54e-2","3.19","7.86e-1","8.10e-2","1.24e-3","ENSMUSG00000068566,ENSMUSG00000071984,ENSMUSG00000020689,ENSMUSG00000021823,ENSMUSG00000020170,ENSMUSG00000037242,ENSMUSG00000034462,ENSMUSG00000000555,ENSMUSG00000031328,ENSMUSG00000022770"
"GOTERM_CC_DIRECT","extrinsic component of presynaptic membrane","3","222","7","13725","5.14e-3","9.39e-2","26.50","8.47e-1","8.90e-2","1.39e-4","ENSMUSG00000036905,ENSMUSG00000036896,ENSMUSG00000036887"
"GOTERM_CC_DIRECT","external side of plasma membrane","12","222","277","13725","5.36e-3","9.39e-2","2.68","8.60e-1","8.90e-2","1.86e-3","ENSMUSG00000040152,ENSMUSG00000020689,ENSMUSG00000031494,ENSMUSG00000029231,ENSMUSG00000059498,ENSMUSG00000074743,ENSMUSG00000000555,ENSMUSG00000020681,ENSMUSG00000007888,ENSMUSG00000008845,ENSMUSG00000075602,ENSMUSG00000022797"
