"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_CC_DIRECT","cytoplasm","28","52","5947","13725","1.07e-1","1.00e+0","1.24","1.00e+0","1.00e+0","8.24e-2","ENSMUSG00000030189,ENSMUSG00000026083,ENSMUSG00000029053,ENSMUSG00000050052,ENSMUSG00000061740,ENSMUSG00000027559,ENSMUSG00000028708,ENSMUSG00000003849,ENSMUSG00000040562,ENSMUSG00000026604,ENSMUSG00000073730,ENSMUSG00000019505,ENSMUSG00000033318,ENSMUSG00000074227,ENSMUSG00000030103,ENSMUSG00000062604,ENSMUSG00000038418,ENSMUSG00000028234,ENSMUSG00000033083,ENSMUSG00000028957,ENSMUSG00000047747,ENSMUSG00000068742,ENSMUSG00000020599,ENSMUSG00000031808,ENSMUSG00000024515,ENSMUSG00000061393,ENSMUSG00000030410,ENSMUSG00000019996"
"GOTERM_CC_DIRECT","cellular_component","7","52","1036","13725","1.85e-1","1.00e+0","1.78","1.00e+0","1.00e+0","9.44e-2","ENSMUSG00000034858,ENSMUSG00000021815,ENSMUSG00000085793,ENSMUSG00000073730,ENSMUSG00000034795,ENSMUSG00000030410,ENSMUSG00000026090"
"GOTERM_CC_DIRECT","cytosol","17","52","3584","13725","2.39e-1","1.00e+0","1.25","1.00e+0","1.00e+0","1.77e-1","ENSMUSG00000030189,ENSMUSG00000062604,ENSMUSG00000028195,ENSMUSG00000028234,ENSMUSG00000029053,ENSMUSG00000050052,ENSMUSG00000033083,ENSMUSG00000028957,ENSMUSG00000027559,ENSMUSG00000003849,ENSMUSG00000068742,ENSMUSG00000024515,ENSMUSG00000040562,ENSMUSG00000037553,ENSMUSG00000019505,ENSMUSG00000033318,ENSMUSG00000019996"

